id,title,description,link,image_link,price,availability,item_group_id,variant_name,variant_value,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,adwords_redirect
Any ID number of your choosing or the ID used by your checkout system),The name of the product,Describe the product ,URL of your product page,URL of your product's main image,price,in stock,"If you have different types of groups, create a group eg.  T-Shirts/Tops ","E.g.: Color, Size","E.g.: Red, Small",new,Pick the most similar category from the list ,Pick from Pinterest Ad Creator's Interests,URL of other product image,,brand ,leave blank if not applicable ,leave blank if not applicable ,leave blank if not applicable ,leave blank if not applicable ,add what your shipping policy OR a link to your shipping policy,leave blank if not applicable ,leave blank if not applicable 
6464237e47363a27d17ec563,Kitchen Tile # 12,"<p>Presenting our &#34;6x8&#34; Ceramic kitchen sign - a stylish and playful declaration of your kitchen&#39;s status as a distraction-free zone. Picture this: you&#39;re stirring a simmering pot when in walks a chatty visitor. But no more! With our vibrant kitchen sign asserting &#34;Cooking Solo, No Sidekicks Allowed.&#34;, your space becomes a fortress of creativity. This sign tells a fun story and sets the stage for uninterrupted cooking adventures.<br /><br />Crafted from durable ceramic, our kitchen sign marries function and fashion, making a statement and adding a sprinkle of character to your space. It&#39;s not just a decor piece; it&#39;s a commitment to protect your culinary realm from distractions. Experience the tranquility of cooking with our &#34;6x8&#34; Ceramic kitchen sign.</p>
<p>Comes in Glossy or Matte.</p>",https://www.cookedsigns.com/store/p/kitchen-tile-12,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751288871-E5XDJ5ZQCNEPET5ZLS1V/17e9a75dec325603596030a3a47fea1a,34.99USD,in stock,,"6""x8""",,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Home Decor > Room Decor > Kitchen > Coffee Bar,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751290342-YNVGOO4UVZR31MZXGDRY/f4be197b1a627d8c3e0a75f3aa1fb6bf https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751291048-QVKTD9Q72N6W12AVKELT/96e18d5f1317ccfbb68391d1b410446a https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751291225-6NVGIPROWWF84E2GZ2BE/91734f6bfa03d651d38772083df0e2b7 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751291319-3NLB1G07K0WWI52MJVF3/7cd6a10cf0d7ba7a704122dcc70a144b https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751291795-I0ACFWX5AVV621TXCG9Q/640724f382a0b6fa01c4a358b71b087e https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751292517-V3O8RWG3OBMUOQN5HFZ4/c4b7592bff6f3f58cd01a6487742b827 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751293057-JN9HUOE33EEU8MKZKPYA/d262285cf74309464cfedd52ffc85914 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751293300-2ECL2EDCUCVX8M0FRMU6/bdd46782e065a551142b61c6452c4b22 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751294024-NCCHF4IKO4EW0LOT1QTM/df336b71f224fa712d86df857d1e7ba8,,,,,,,,,
6468102913d1d4552d8ebf6e,Kitchen Tile # 11,"<p>Meet our &#34;6x8&#34; Ceramic kitchen sign, the guardian of your culinary domain! Crafted from durable ceramic with a vibrant design, this sign isn&#39;t just home decor; it&#39;s a fun statement of your love for distraction-free cooking. Imagine preparing your signature dish, completely engrossed, when suddenly a distraction stirs the peace. With our kitchen sign proudly hung up, it boldly declares - &#34;Cooking Solo, No Sidekicks Allowed&#34;. The message is clear and playful, keeping your kitchen a haven of tranquility. This sign is the perfect blend of style and function, ready to elevate your cooking experience. Make room for our &#34;6x8&#34; Ceramic kitchen sign, and cook up a storm in peace!</p>
<p>Comes in Glossy or Matte.</p>",https://www.cookedsigns.com/store/p/kitchen-tile-11,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751258151-THY6NSRXS5DS1PN5XYNE/f8e426cc6cb07338c52c52bdbaa18734,34.99USD,in stock,,"6""x8""",,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Home Decor > Room Decor > Kitchen > Coffee Bar,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751259622-HFP9L9BNSZVO8CFJEE32/0c9830c73a6cdacbb5b04d2760653b5c https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751259800-JQM88HEUXW8RCSX5C354/f8746df7c52befecdb6477e1109edf37 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751259879-E1SIPZS42YJW8SX6AQNK/8ffb7b5ba2ca29e6b361baf5706c421c https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751260613-LMP43L6BXJ884YEUNDXV/49b03a733f1011825e03d16d2efc695e https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751260987-PP4ZS9K6KVT3XBDP5G1D/1c6fe872d68025827dfd1fdb26eba019 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751261304-GDM6I3JZUIWAVOOFEH3D/33c64698484f00076f1cf07fc743fe85 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751261407-9O97S8NNL3IC6EX93MTR/28487ccf4bfc14d341038090415afcb5 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751261995-12FVZQ8F07SS2I318GJR/2163234a9420c8312c597752deddc2a5 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751262578-8UQNVTC3U4XKN8YVHCGV/a661cd13bfafa4646b828055a3e529b6,,,,,,,,,
646810705a521e20c0b0b364,Kitchen Tile # 10,"<p>Introducing our &#34;6x8&#34; Ceramic kitchen sign, a playful yet practical addition to your culinary space. Crafted for passionate home cooks, this sign transforms your kitchen into a distraction-free zone where you create delicious masterpieces. Picture this: You&#39;re preparing a decadent sauce, stirring steadily. Suddenly, an interruption shifts your focus, and your sauce is seconds away from catastrophe. But, with our kitchen sign hanging, your space remains serene, allowing you to create uninterrupted.<br /><br />This kitchen sign, durable and eye-catching, broadcasts a whimsical message: &#34;Cooking Solo, No Sidekicks Allowed.&#34; It&#39;s more than a sign; it&#39;s a boundary-setter, a statement of your love for cooking, and a guarantee of peace in your culinary sanctuary.<br /><br />So, elevate your cooking experience with our &#34;6x8&#34; Ceramic kitchen sign. Bring fun, personality, and undisturbed creativity to your kitchen with this must-have decor.</p>
<p>Comes in Glossy or Matte.</p>",https://www.cookedsigns.com/store/p/kitchen-tile-10,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751274323-9D16KB0E5J35UGJR8OPP/0c73214f5ffba56b5a6b7b5556764247,34.99USD,in stock,,"6""x8""",,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Home Decor > Room Decor > Kitchen > Coffee Bar,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751275826-NKG6LQ2K2M27BDIRDUY7/9cf4d531a3da178dd3b84ab2abb3e8da https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751276098-UTX8KUW1HTDJJAI4GJLK/73c581aaa194bbb3dcf2a3450cef1dca https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751276356-BLBU9UE03R12I3H82DJ1/def39fa8421f1b5210d01359d2968e4f https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751276372-CNE7V4CAOVUQ8MIBE1KR/02568fc4258ae424690ccdd52c74ad59 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751277255-YXA9FUO82TKH63FJG8SZ/f1a4dc2319ee3b71f2efc2002e2b826a https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751277611-IL5NPBDVN1G9GU42SR1K/36909e3fab2ea39812a7bda0435869df https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751277774-MBVZF6MXNJKD0LF2JDVS/6fce31fd3cf4f60800f3b1e818bec33a https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751277920-GTAXAK02RLR897FN14CD/fc279ae34aa2bb07a0ad202741e9648c https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751279051-ZVVD8KBMBIDKL3MA88IP/e00117bd66ddf6bc6688812a5e9a6ed8,,,,,,,,,
646810b247363a27d180ef7c,Kitchen Tile # 9,"<p>Step into your culinary sanctuary with our &#34;6x8&#34; Ceramic kitchen sign, the guardian of your cooking adventures. This fun and vibrant sign, with its bold typography and playful message, commands respect for your creative space, keeping distractions at bay.<br /><br />Imagine this: You&#39;re meticulously icing a cake, your concentration at its peak, when a surprise visitor pops in, breaking your focus. With our kitchen sign hung on your door, it cheerfully proclaims - &#34;I&#39;m The Master Chef, And You&#39;re In My Dojo!&#34;<br /><br />This isn&#39;t just a sign; it&#39;s a declaration of your passion for cooking and a beacon that upholds the sanctity of your kitchen. Durable, beautifully designed, and effective, our &#34;6x8&#34; Ceramic kitchen sign is your partner in culinary creation.<br /><br />Embrace distraction-free cooking with our kitchen signs, and let the magic unfold, one recipe at a time.</p>
<p>Comes in Glossy or Matte.</p>",https://www.cookedsigns.com/store/p/kitchen-tile-9,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751306620-D1EO1I8WJHYCQZALUX5G/5a29acd8dad751c203deeb340df5c201,34.99USD,in stock,,"6""x8""",,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Home Decor > Room Decor > Kitchen > Coffee Bar,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751308500-D8HYT4URYELP88Y8CDWA/19dcad8b91e0cccc595e3513ad4e120f https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751308711-0R7WBEA02PWJ4PMS6WZV/b7652321de19dd9e87c1911aca4856d3 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751308825-NOB0JVGO1WWTM41A5DW9/ff61a8944445b0f86e979353b150cfa3 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751309543-W4QQJVATGAHF3QOH663A/36e53c2b21297ca2917eb65b76ba5028 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751310187-Z99CQKME46X3ZTXQDPVO/1ed40f19206a49cb3c89dfc038e4e00a https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751310412-138C5PPNE2TC717X00BF/b220b96655016fcd04cb4a888133e834 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751310427-OP8ARMPF23JDTBTBMO34/c3cff481b18f38d50286b4078cc4f6c3 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751311181-3G2RUJB4CJ9YI2JH0FAV/0a148a8995942a2d207f1e61d7f2e63c https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751311908-EEMYWJ70K0PXFYCCNN1S/abd764cfdd7302e379fc0448cd8991cd,,,,,,,,,
6468112413d1d4552d8ebff7,Kitchen Tile # 8,"<p>Welcome to our &#34;6x8&#34; Ceramic kitchen sign - your ticket to a distraction-free culinary experience! Crafted with care and charm, this sign is the perfect addition to your kitchen decor. Picture this: as you&#39;re crafting your signature dish, the door swings open, breaking your concentration. No more! With our sign proudly displayed, it subtly yet clearly states - &#34;I&#39;m The Master Chef, And You&#39;re In My Dojo!&#34; This amusing message keeps your space protected, allowing you to whisk, blend, and bake in peace.<br /><br />Crafted from durable Ceramic with a design that brings a smile to your face, our &#34;6x8&#34; Ceramic kitchen sign isn&#39;t just a decor item; it&#39;s your personal kitchen guard. Enhance your cooking space with our fun, distraction-deterrent kitchen signs today!</p>
<p>Comes in Glossy or Matte.</p>",https://www.cookedsigns.com/store/p/kitchen-tile-8,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751319654-RWYUN6RLAXZYIJRP9RLS/4e03574913468cb5153a517909be4cf4,34.99USD,in stock,,"6""x8""",,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Home Decor > Room Decor > Kitchen > Coffee Bar,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751321523-6WSP5NPIP2KRLW3OIB61/ce23b8ef6833a40679d3610a8078c2af https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751321750-KBBA8MLQEDMU49MSPYXT/7a4a054fc98a127651eb72f2ada54ad8 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751322052-OC9NJPV47WRJ3RIHV52A/c91bf6b9318ff302b0da25a5e6fb7cf4 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751322223-0OZLD30DMG72RPHB4B7X/84c68681905dc1eeec857acd1b2d9e10 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751323063-0IW15355BUX5E3JLQ20M/e6652af95a8478453eecb407939dc8be https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751323407-OTBALGY2C11RKGNSW85Z/9f7dbc80425a0092a715c98a54ec5e10 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751323497-VK6G6RO6075J5Q2HT7EH/54c285bf52dc1153c9e85ed2aa9fa50b https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751323682-BK4WEA608RUIF4UJNCQL/b6f769aa4a2b273f8e0f3141c85e941c https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751324645-AN6DR2YADIQ1T8FK376W/648785236bd33c76440310b18fb6c22e,,,,,,,,,
646811495a521e20c0b0b3c7,Kitchen Tile # 6,"<p>Meet our &#34;6x8&#34; Ceramic kitchen sign, a charming protector of your cooking focus. Picture this: you&#39;re crafting your grandmother&#39;s famous apple pie when an unsuspecting family member saunters in, disturbing your cooking rhythm. But, with our kitchen sign mounted in place, a polite yet playful reminder greets them: &#34;Master Chef At Work, Get Out!&#34; With this sign, your kitchen becomes a serene sanctuary for your delicious adventures.<br /><br />Made from high-quality Ceramic and featuring vibrant, eye-catching design, our kitchen sign perfectly marries style and practicality. It&#39;s more than decor - it&#39;s a declaration of your passion for cooking and the sanctity of your creative space.<br /><br />Embrace distraction-free cooking with our &#34;6x8&#34; kitchen sign. This isn&#39;t just a product; it&#39;s a ticket to tranquillity.</p>
<p>Comes in Glossy or Matte.</p>",https://www.cookedsigns.com/store/p/kitchen-tile-6,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751523479-Q5B37U0JGWEWLG365I7N/d3ed2750d34a40873721c83481f11f0b,34.99USD,in stock,,"6""x8""",,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Home Decor > Room Decor > Kitchen > Coffee Bar,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751524984-NIAI7JL4X5I6KAYZI5Y4/ceaeff3953f8d1b0e93b0b15b5365659 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751525211-PQZDG4WI53XZ705ZI1LM/ec5a83843ef562bbc0e5a3c49e9d8b9d https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751525242-X2173X8CR8UDO275LP67/d63052db57fad1d73c467941b52a3b8c https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751525431-B5Y20GIIM3XSQOD9LCZI/d545d5480ca3729f5ac15bdeaf76b034 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751526459-3ETMGMPEM5B85675A5LI/e450bdbe678e50577014329038b33df4 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751526646-QS6GALZ9BK1TGA6PB4RC/11204653871d660eee11b4d2a163f20b https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751526705-RUTVYZYM5CHBK4OXFHH5/b8112d8d85a506720aa131063646b4d3 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751526829-G4RTJNQNLXSW3XRGFSAU/ca77be855ebe9f8fcc712292eaabd210 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751528033-9OVKKHU1XCKQW6RTURYA/cfb95a00084b46b405a3a1c7e6a2f7ac,,,,,,,,,
64681165c78528340713ab2f,Kitchen Tile # 7,"<p>Discover the charm of distraction-free cooking with our &#34;6x8&#34; Ceramic kitchen sign. Crafted with humor and heart, this sign transforms your kitchen into a sanctuary for culinary creativity.<br /><br />Picture this: you&#39;re whipping up a culinary masterpiece, the secret family recipe. Suddenly, a friendly intruder interrupts your concentration. But with our vibrant kitchen sign on your door, interruptions become a thing of the past. Its playful message, &#34;I&#39;m The Master Chef, And You&#39;re In My Dojo&#34;, guarantees your peaceful cooking experience.<br /><br />Our kitchen sign is not just a piece of decor, it&#39;s a statement, a guardian of your cooking zone, ensuring your gastronomic adventures continue undisturbed.<br /><br />Upgrade your kitchen experience with our &#34;6x8&#34; Ceramic kitchen sign. Celebrate the joy of distraction-free cooking!</p>
<p>Comes in Glossy or Matte.</p>",https://www.cookedsigns.com/store/p/kitchen-tile-7,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751339228-WVCO30WOIFQCR2LFP68E/60e473f021c1dd42c041de80c00bf9ee,34.99USD,in stock,,"6""x8""",,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Home Decor > Room Decor > Kitchen > Coffee Bar,https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751341146-PVBDAKEHYZMQYV95MSZQ/187b4ad0cc8ae2e33f50941b311a9d4b https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751341167-HMGKR5IA68PSUAQXJ7VU/78320ff12a8f6e215b83d5f732f5b77f https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751341237-9IZKIHL6R0MZ24R8V37E/89a1d6bd3f0d2db339bfcbb65421251f https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751341276-OVHOZKQJ16ZC52LT3X0G/beddd5fdd1ef03d9de1c29af1654c35e https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751342699-RKFTEA82GMLE071TBFSK/8f94dfb9fd3bc480ae40351dd4a40d04 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751342888-DHAG24OP1K9IOK7G64O5/cbd9eaeab4ce718f13838a2843e1e9f5 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751342889-XOW507V29KR6XC88GK6S/602929530d8a555cc48f659a952143e5 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751342914-ZUYXPUZOWMHT9OL9FR8O/b83e07b9adce548d079022e82d306356 https://images.squarespace-cdn.com/content/v1/644469d0ac4b291b67fdd802/1685751344356-INKL7697HCV6UXQB2PBS/37554de45efb7b637ff5e86e7d4a5ed1,,,,,,,,,
